S.No.,reg_no,1000221102,1000221103,1000221109,1005221100,1000221114,1000221170,1005221110,1003221102,1000221120,SGPA
1,22L31A5402,C,C,D,D,C,B,O,C,D,7
2,22L31A5403,O,A,O,O,C,A,O,A,C,9.38
3,22L31A5404,A,A,B,B,C,A,O,C,C,8.31
4,22L31A5405,F,D,D,C,D,A,O,D,C,5.77
5,22L31A5406,D,D,F,F,D,B,O,C,D,4.77
6,22L31A5407,O,B,O,A,C,A,O,A,C,9.08
7,22L31A5408,D,B,B,C,C,A,O,B,D,7.69
8,22L31A5409,A,A,A,O,C,A,O,O,C,9.23
9,22L31A5410,A,B,A,B,B,A,O,A,C,8.69
10,22L31A5411,A,A,A,A,C,A,O,B,B,8.77
11,22L31A5412,O,A,A,O,C,A,O,A,C,9.23
12,22L31A5413,A,O,D,B,C,A,O,B,D,8.31
13,22L31A5414,O,A,A,A,B,A,O,A,B,9.15
14,22L31A5415,A,B,D,C,C,B,A,B,C,7.69
15,22L31A5416,B,C,A,A,C,A,A,C,C,8.08
16,22L31A5417,B,D,F,F,C,A,A,D,C,5
17,22L31A5418,O,O,A,A,B,A,O,A,C,9.31
18,22L31A5419,D,D,F,C,F,B,A,C,C,5.31
19,22L31A5420,A,B,D,C,C,A,O,B,C,7.85
20,22L31A5421,C,C,D,F,D,A,A,C,C,6
21,22L31A5422,A,B,B,C,C,A,O,A,B,8.31
22,22L31A5423,B,C,C,C,C,A,A,B,C,7.62
23,22L31A5424,C,F,F,C,C,A,A,C,C,5.15
24,22L31A5425,O,O,O,A,C,A,O,A,C,9.38
25,22L31A5426,A,A,A,O,C,A,O,B,C,8.92
26,22L31A5427,O,A,A,A,B,A,B,O,C,9.15
27,22L31A5428,A,B,B,B,C,A,O,C,C,8.15
28,22L31A5429,O,A,O,O,C,A,O,A,C,9.38
29,22L31A5430,A,A,A,A,C,A,O,A,C,8.92
30,22L31A5431,A,B,C,D,C,A,O,B,C,7.85
31,22L31A5432,O,A,O,O,C,A,O,B,D,9.23
32,22L31A5433,C,C,D,B,C,A,A,B,D,7.46
33,22L31A5434,O,O,B,A,C,A,A,B,C,8.85
34,22L31A5435,A,A,B,B,C,B,O,B,D,8.38
35,22L31A5436,A,C,C,C,C,B,A,D,D,7.38
36,22L31A5437,F,D,F,F,D,A,A,D,C,3.69
37,22L31A5438,A,A,A,A,C,A,O,A,D,8.92
38,22L31A5439,A,B,B,B,C,A,O,B,C,8.31
39,22L31A5440,A,A,O,A,C,A,O,A,C,9.08
40,22L31A5441,A,B,C,C,C,A,O,A,B,8.15
41,22L31A5442,F,B,F,C,D,A,O,D,C,5.15
42,22L31A5443,F,B,B,B,C,A,O,A,C,7.08
43,22L31A5444,A,A,B,C,C,A,A,B,D,8.23
44,22L31A5445,D,F,F,F,D,B,A,D,D,3.62
45,22L31A5446,O,O,O,A,C,A,A,A,C,9.31
46,22L31A5447,O,A,A,B,C,A,O,A,C,8.92
47,22L31A5448,F,B,F,C,C,A,O,B,C,5.54
48,22L31A5449,B,C,D,D,C,A,O,B,C,7.38
49,22L31A5450,A,A,O,O,C,A,O,A,C,9.23
50,22L31A5451,F,F,F,D,D,C,B,D,C,3.46
51,22L31A5452,D,F,F,D,D,B,A,D,C,4.54
52,22L31A5453,B,B,D,B,C,A,A,C,C,7.62
53,22L31A5454,A,O,A,B,C,A,O,A,C,8.92
54,22L31A5455,O,O,O,A,C,A,O,A,C,9.38
55,22L31A5456,A,B,A,A,C,A,O,A,C,8.77
56,22L31A5457,O,A,O,O,B,A,O,O,C,9.62
57,22L31A5458,B,A,A,B,A,B,O,B,C,8.54
58,22L31A5459,C,A,D,D,B,A,O,B,C,7.62
59,22L31A5460,D,D,F,F,B,B,A,D,C,4.69
60,22L31A5461,B,A,A,A,A,B,O,A,C,8.85
61,22L31A5462,A,A,C,B,A,A,O,A,C,8.62
62,22L31A5463,B,A,B,C,B,A,A,B,C,8.15
63,22L31A5464,A,O,A,B,B,B,O,A,C,8.92
64,22L31A5465,B,C,F,D,C,A,O,C,C,6.31
65,22L31A5466,A,A,B,B,A,A,O,O,C,8.92
66,22L31A5467,B,B,D,B,A,A,A,A,C,8.08
67,22L31A5468,B,B,C,B,A,B,O,B,C,8.08
68,22L31A5469,A,O,A,A,B,A,O,A,C,9.15
69,22L31A5470,C,A,D,B,B,B,O,C,D,6.77
70,22L31A5471,A,B,B,C,B,A,O,B,C,8.23
71,22L31A5472,D,B,B,C,A,A,O,B,C,7.85
72,22L31A5473,D,B,C,C,B,A,O,C,C,7.46
73,22L31A5474,B,O,A,A,B,A,O,B,C,8.85
74,22L31A5475,A,A,B,A,A,A,A,A,D,8.85
75,22L31A5476,A,O,C,B,A,A,A,B,B,8.54
76,22L31A5477,A,O,O,B,B,A,O,B,C,9
77,22L31A5478,O,A,O,O,A,A,O,A,C,9.54
78,22L31A5479,O,A,A,C,A,A,O,B,B,8.77
79,22L31A5480,B,D,F,D,B,B,A,F,C,5
80,22L31A5481,C,B,D,F,B,A,A,F,C,5.23
81,22L31A5482,D,D,D,C,B,B,A,F,C,5.77
82,22L31A5483,D,F,F,F,B,A,A,D,C,3.85
83,22L31A5484,A,A,O,A,B,A,O,A,B,9.15
84,22L31A5485,A,A,A,B,B,A,O,C,B,8.54
85,22L31A5486,A,A,B,B,B,A,O,A,C,8.69
86,22L31A5487,B,B,B,C,A,A,A,C,C,7.92
87,22L31A5488,C,C,D,F,B,A,O,B,C,6.38
88,22L31A5489,D,A,B,C,B,A,O,C,C,7.77
89,22L31A5490,A,A,A,C,A,B,O,B,C,8.54
90,22L31A5491,F,F,F,F,B,A,O,F,C,2.08
91,22L31A5492,D,D,F,AB,C,B,A,F,C,3.69
92,22L31A5493,O,A,B,B,B,A,O,C,C,8.54
93,22L31A5494,A,A,O,B,B,A,O,A,C,9
94,22L31A5495,F,F,F,D,C,A,A,F,D,2.85
95,22L31A5496,A,A,B,C,B,A,O,C,B,8.23
96,22L31A5497,D,F,D,D,C,B,A,F,B,4.62
97,22L31A5498,F,F,F,D,B,A,A,D,C,3.85
98,22L31A5499,F,C,F,D,D,D,A,D,C,4.54
99,22L31A54A0,F,F,F,F,D,A,A,F,D,1.85
100,22L31A54A1,A,O,A,A,C,A,O,A,C,9.08
101,22L31A54A2,A,A,C,D,C,A,O,C,C,7.85
102,22L31A54A3,B,A,A,C,B,A,A,B,C,8.31
103,22L31A54A4,O,O,O,O,B,B,O,A,C,9.54
104,22L31A54A5,O,O,O,B,A,A,O,A,C,9.38
105,22L31A54A6,A,C,B,B,C,A,O,B,C,8.15
106,22L31A54A7,B,A,B,C,B,A,O,C,C,8.08
107,22L31A54A8,O,A,A,A,C,A,O,B,C,8.92
108,22L31A54A9,F,F,F,F,B,C,A,F,C,1.85
109,22L31A54B0,C,B,C,D,B,B,B,D,C,7.08
110,22L31A54B1,O,A,A,A,B,A,B,C,C,8.69
111,22L31A54B2,D,D,F,C,C,B,B,C,C,5.77
112,22L31A54B3,B,A,A,B,B,A,B,C,C,8.23
113,22L31A54B4,O,O,O,A,B,A,B,A,C,9.31
